date,mean_compound_cnbc,relevance
2018-01-16,0.1779,3.0
2018-01-19,0.1779,3.0
2018-01-30,0.38539999999999996,3.0
2018-02-01,0.090,5.0
2018-02-02,0.1779,3.0
2018-02-09,0.5423,5.0
2018-03-01,0.8225,5.0
2018-03-15,0.1779,5.0
2018-03-19,0.1779,3.0
2018-03-27,0.1779,5.0
2018-04-05,0.14305,4.0
2018-04-10,-0.62225,4.0
2018-04-12,0.1779,5.0
2018-04-19,0.1779,5.0
2018-05-07,-0.296,5.0
2018-05-10,0.1779,3.0
2018-06-21,0.5106,3.0
2018-07-11,0.1779,3.0
2018-07-30,0.7506,5.0
2018-08-01,0.5859,3.0
2018-09-04,-0.098,3.0
2018-09-05,0.4767,5.0
2018-10-01,0.4404,5.0
2018-10-03,0.5849,7.0
2018-10-16,-0.2247,5.0
2018-10-18,0.49135,4.0
2018-11-26,0.3612,3.0
2019-01-08,0.1779,3.0
2019-01-15,0.1779,4.0
2019-02-11,0.0,5.0
2019-02-28,0.1779,3.0
2019-03-12,0.1779,7.0
2019-04-01,0.4019,3.0
2019-04-11,0.128,3.0
2019-04-15,0.08895,4.0
2019-05-01,-0.7579,3.0
2019-05-22,0.6705,3.0
2019-07-09,0.27270000000000005,3.0
2019-07-17,-0.1779,7.0
2019-07-19,-0.4215,3.0
2019-07-29,0.0,3.0
2019-09-06,0.5267,3.0
2019-10-18,0.1779,7.0
2019-10-28,0.1779,5.0
